,TCGA-3L-AA1B-01A-11R-A37K-07,TCGA-4N-A93T-01A-11R-A37K-07,TCGA-4T-AA8H-01A-11R-A41B-07,TCGA-5M-AAT4-01A-11R-A41B-07,TCGA-5M-AAT5-01A-21R-A41B-07
100130426,-2.44530847339195,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472
100133144,0.447632896566022,-1.81586550809636,-0.601264089513368,-0.878633641896141,-0.304972866340884
100134869,-0.20473845716121,-2.3044354830166,-0.860092319185074,-0.0995537394907725,0.00613604982690046
10357,4.61356335181358,4.31434560384837,4.3812329982324,4.45557144935164,5.24888633870604
10431,5.91795683128583,6.25576147456452,5.95675382881741,6.49165749492515,6.46490845841401
136542,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472
155060,3.69737576451339,3.59991927028328,2.91598350690247,3.31562793191861,2.82585656755909
26823,-1.25590516066534,-3.41224415874854,-0.900062924668659,-1.28823974493661,-2.41778427975886
280660,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472
317712,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472
340602,-4.99442466167964,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472
388795,-4.07788439799895,-4.29952941667422,-3.99404175118566,-4.32585231122382,-2.5587965904297
390284,0.549700947253724,0.254084734610371,0.579071477340935,-0.848750952847259,0.49724377937673
391343,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472
391714,-4.63134933437646,-6.64385618977472,-6.64385618977472,-4.088741610936,-6.64385618977472
404770,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472
441362,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472
442388,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472
553137,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472
57714,2.92908723526571,1.2993841936003,2.81388441410039,2.78530678039074,2.05166533984722
645851,0.847868884117811,0.95183203562097,0.370123842198037,0.335960662328219,0.0912122884796391
652919,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,-4.56658436152642
653553,6.77232843486247,7.42223441046088,6.10545567427465,4.30463113963243,5.2913457857087
728045,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472
728603,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472
728788,-6.64385618977472,-6.64385618977472,-6.64385618977472,-4.07969360567602,-6.64385618977472
729884,-4.37891994101536,-6.64385618977472,-4.03993678301515,-4.15635804969827,-4.50059233676334
8225,6.27141424509039,6.78918852955485,5.58307672194795,5.90307558312118,5.95458647087674
90288,-6.64385618977472,-4.13696794059072,-4.82963118900769,-3.81839190251136,-4.03978060820439
1,-0.0314324872932969,2.72363202190783,-0.675843481524778,-1.98160164918487,-0.688027304773809
29974,3.18162376321889,1.77705340444951,2.64190894677385,2.4466472564005,3.1891628564961
54715,-4.09268594370317,-2.48048467094378,-5.44044256316314,-4.59070396089653,-4.21562568647065
87769,3.14164454209838,3.97859559423567,3.6671629644368,2.56775808539827,2.19743379890208
144568,-4.46751476719123,-5.75191133788591,-0.571583119022775,-3.07224840039596,-5.41647143639598
2,8.86815227824185,5.56585057979796,5.03118987042786,6.26809362953908,6.26834779104406
53947,2.25752361990769,-0.412232390829001,-0.782195071618734,1.47256977516858,0.563806357619803
51146,-6.64385618977472,-5.09033094805954,-6.64385618977472,-5.11567039240334,-6.64385618977472
404744,-6.64385618977472,-1.71809544635595,-6.64385618977472,-1.98242688078133,-6.64385618977472
8086,5.40585148946854,5.08361047909447,5.35728559754907,5.48314668241032,5.55959432264268
729522,-5.12343196439014,-6.64385618977472,-6.64385618977472,-4.16822698595205,-6.64385618977472
65985,5.01522514594066,4.49753673542737,5.14714399006381,4.9041483302179,4.43145998583603
344752,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472
126767,-6.64385618977472,-5.76085602688895,-6.64385618977472,-6.64385618977472,-6.64385618977472
343066,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472
13,-1.75141603016993,-3.37559777441314,-6.64385618977472,-3.77594013711865,-1.90556095259182
51166,3.21673680589654,1.55701874847635,2.32224600278592,2.39856687294823,3.51116161222225
79719,5.28865538100166,3.86667946494429,4.78038237850725,4.70619667741774,5.39659770454403
22848,2.60160937327473,1.3300165228854,1.74565526504346,2.3604116301822,2.43809994173523
14,7.16306241978741,7.40614668586339,6.78434107485797,7.49110755498043,7.18075465168789
15,-4.02081363663269,-4.24906098906047,-3.68281396221647,-3.60560273038435,-4.31936509207923
57505,2.96268487709459,2.7983699378201,2.55157831400781,3.46499337400752,3.3200038944923
80755,5.97581882713964,5.93251211788201,5.62995196316517,5.21072729567193,5.63987251123739
16,6.43741352290922,6.00546588632155,5.45677618582805,6.52564865209845,6.60464513016695
60496,4.27172182606324,3.80962294347609,3.68844948309604,4.19794049529487,4.11039187427858
132949,2.796600540411,0.699072368547573,2.02561076525838,2.41606324713412,1.49325656694777
10157,2.48155071227849,1.60010698689104,1.58894807496627,-1.79795777439232,-0.471966833696165
26574,6.36779262162366,5.820772836456,5.77020386508616,6.16598108923645,6.16006680897002
9625,-0.418721128152738,1.00095132293756,2.90675678660481,1.62898405552044,0.463140489635574
18,3.30552802131687,2.77613334010747,2.5289402961514,0.428760899612325,2.46840522598152
10349,0.999302192457857,-2.46703217572464,0.283433650112118,-3.26349909275724,-2.60280605453876
79963,2.49907041623231,2.60871934494831,1.88301351317711,2.13831576278237,2.28971356460405
26154,-5.11631818999508,-6.64385618977472,-0.663779443793809,-6.64385618977472,-0.734453328464787
154664,-0.914516328581914,-2.01779241942185,-2.67339093783116,-2.74445394008604,-3.62657546339288
650655,-1.07656074141345,-1.91531923139085,-3.25518636844117,-5.05922244373398,-2.63232890905485
19,2.55302414335459,0.522346921495293,1.47548552025511,-0.367975560217669,-0.254194643008787
20,2.65161350378996,4.51901852328248,3.76198235162088,4.63810898316561,3.25038340211028
21,0.985175574437281,1.36649547593033,1.50166039733528,0.421552166701458,-2.01309430647995
24,-3.06629724748528,-6.64385618977472,-1.67406447536912,-5.75995023426669,-4.50918728602597
23461,3.15073117926016,2.79712524184174,2.62076345266606,1.00714581988258,1.62281733627798
23460,-1.3640718704837,-4.66900930823881,-1.89667779645569,-5.975125004126,-3.00965052278048
10347,2.78120467429462,4.49308059408574,4.82013449839462,2.61256162125414,2.33885477694646
10351,-0.362706054559683,-3.92819713311501,-5.7166858508754,-4.88148672365402,-2.62934807100954
10350,-1.74694987277464,-4.59099682390758,-2.01186051506385,-6.04587632897425,-4.32142168040888
23456,3.37637245606366,3.61035601282955,3.57982475633749,3.42389237702465,3.32715383793694
8647,-4.42213523802369,-4.6513680820557,-4.54958825674109,-4.32755920860749,-6.64385618977472
5243,6.58756299704235,-1.5484841621474,2.65665682446158,2.36715666243386,3.22938471046515
5244,0.994955943616562,-2.92006749153771,-3.67372194945891,-2.87164328774955,-2.11560980312532
340273,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472
10058,3.21220337389264,3.964471793249,2.24859442464763,3.20336104213648,3.0877265193401
22,3.92587435626229,3.34806295631078,3.89196583497966,4.59756165927115,3.80147398233221
11194,4.68453474851477,4.23721083921521,4.4639321488986,4.63292260343052,4.67034203527443
23457,2.08968814844701,1.83732019695941,1.22861774061523,2.16386734326681,1.87503436240623
89845,3.90953646556452,3.81280616094669,3.69892281521147,3.64381067338697,4.46584881017584
85320,-2.88459602152353,-4.98378827560405,-4.06561674674697,-5.05238672114394,-4.18972970287319
94160,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472,-6.64385618977472
150000,-1.76572317258508,0.672073329746022,-0.430149961993997,-1.43175555494573,-1.81626887066003
4363,4.70766955687887,3.50510138827219,4.04170992597693,4.4863774845462,4.58571364656282
1244,0.218351356097241,-3.4374907513932,-2.44084005332326,-1.92198987858657,0.052366225998379
8714,6.10824585850871,7.57015746695833,7.05284671912639,6.51497336917818,5.63182117591976
10257,3.96837694326392,2.02461184862946,1.10995802558246,4.25573312106299,3.75236073190214
10057,3.99416824217843,4.75362708185354,4.70997487808013,4.12120737880352,3.70951292825402
653190,-2.54788711005185,-1.7916891715711,0.0349197931435979,-0.404475984465578,-0.622462365753541
730013,2.29001204780769,3.02995408182041,2.47109848230584,2.36683251092551,3.00418586714196
368,1.98222362891122,3.03583062321967,2.80258575203923,2.24371095965146,2.76222749248194
6833,-2.0896866604543,-2.99178798281052,-6.64385618977472,-4.10954084642512,-4.47419686323296
10060,-0.315361437592227,-3.93148497469827,-4.34467578699507,-1.66247886360828,-2.69860663701325
