,test
257,0.971377828238892
60529,-6.64385618977472
83650,-4.42843384125598
643664,-6.64385618977472
146861,-4.96741089639576
23600,7.38284908647624
258,-5.02375612007042
259,1.71094760945918
55626,4.14016809706152
262,5.08342566168054
144193,-1.50401893549703
51005,3.63662900505319
265,-6.64385618977472
266,-6.64385618977472
267,5.74785905707481
269,-4.19673943424187
268,-6.64385618977472
120425,3.34320912266248
57463,1.97889310035255
347902,5.13015876538344
386724,1.60223799706638
83607,4.2951842120723
9949,3.47935303473872
196394,1.97972092440943
81693,4.17682664818138
154810,1.89876283295708
51421,3.82870083708416
154796,4.0686482612789
270,-1.24034621381858
271,5.31864314266323
272,2.6192582010658
273,-0.104973034970285
401138,-6.64385618977472
275,2.78121331155101
276,-2.74153199968326
279,-2.84950526587253
280,3.6595720209095
155185,-5.66198779934355
201283,2.4267072312393
51321,5.87817861218637
10393,3.7737442061696
51529,7.214597573358
25847,6.11364378010105
119504,5.36145953378614
64682,4.02643454114564
29882,4.62662483907771
29945,4.50432901401006
51433,6.42141694318283
51434,5.19769371758723
23357,4.43997530246071
90806,3.2820000701624
284,-0.409501906863975
285,0.892854151673015
51378,-6.64385618977472
9068,-0.322553401799906
23452,4.37981581289962
27329,-4.37364552112406
51129,1.1061808040057
253935,-6.64385618977472
83854,-1.9167177454989
10218,-1.05803326137583
283,5.64272466124541
286,-1.69459572687777
287,1.62739328135293
288,3.67071271502867
150709,-0.0311574270647009
348094,1.12902725382105
162282,-2.65206180461094
51479,3.45514643685954
404734,4.91586552320437
54882,6.00865542709252
56172,5.62039562290904
54467,4.68352648369012
255239,0.591168026826741
126549,-2.34149875157797
23141,5.30804196885495
51281,3.58705107054159
57037,3.74254808918023
57763,4.3175253331193
55608,6.59113203743098
29123,5.07081335828876
23253,1.86214094393665
88455,4.18431459463078
124930,3.18472884120738
81573,2.60927087502505
338692,4.46017265969222
54522,3.11304037992152
26057,4.87975964807296
138649,1.3932634686708
27063,-2.07014240078724
441425,-3.63947809587621
728747,-6.64385618977472
729171,-5.39300476802409
118932,4.78272392357052
200539,1.2690554938087
170961,-1.48088173626805
124149,-6.64385618977472
22852,0.972340803049652
84079,3.86898268484995
23243,3.73282760596723
147463,1.95471345608306
26287,-4.58032399915306
91074,-6.64385618977472
374860,-5.56138661157748
256006,-3.6788639868761
84250,2.0982235598524
341405,-6.64385618977472
284615,-1.57675732730884
340120,-3.54214125147437
390616,-5.87015756180611
148741,0.437506978033197
84832,1.66789006629965
57730,-0.365552240425684
375248,2.44124040915908
353322,2.43292326346799
51239,3.97353524291936
91369,4.2763808531304
338699,2.3318383107544
134548,2.79215884407821
91526,1.59658892071385
339416,-3.840252933186
157567,3.65813609436244
54851,3.55081660216324
57182,2.69975446477943
283373,4.35370050918345
79998,-2.21533776056469
129138,3.56868497748814
79722,-3.59897016274151
345079,3.38012313638477
65124,3.4926295098301
347454,0.522013895965279
63926,3.48022268758592
22881,-0.411429942515909
56311,-6.64385618977472
122416,3.72400171298012
23294,4.48238860305517
56899,-2.41000281565731
124401,3.96336466572521
257629,4.91327635051411
203286,3.84376001952146
55139,5.45806802845752
54443,4.03485234181221
55129,4.1217851647676
55107,3.38231450423665
57101,-2.11462443598401
63982,-5.0770976089494
121601,-2.59374672729721
203859,-2.06049607310285
196527,4.6241658890123
50636,3.17871864689779
57719,2.2654606942098
338440,7.04456990435545
8125,6.87465541579696
10541,7.71829244210325
23520,-1.45396702795485
23519,-6.64385618977472
81611,4.06932258270372
290,3.585098539522
84168,4.9622963706266
118429,5.02297989929332
195977,-6.64385618977472
93550,1.90373457259123
11199,-6.64385618977472
311,7.28823016692161
312,5.2620851865772
301,5.70834123066079
303,2.62117580736699
304,8.42962211145521
305,-0.860885737420698
302,9.67322160279426
306,6.47654821329925
307,7.93973728904499
308,7.10560611581174
309,6.73360021259867
310,6.26338822684025
728113,-6.64385618977472
244,-5.02916186630529
653145,-3.69171001080263
8416,2.80335925254301
313,4.10895428757729
314,-2.0448402428599
8639,4.36613796832425
316,0.955549661888021
344454,-6.64385618977472
55435,4.02370343365262
162,5.71416465275317
164,4.47911241410152
8906,6.64898268162568
8907,4.79005210176523
10053,7.05463938155579
1174,7.526262101702
8905,2.81570475588749
130340,2.61473876862247
160,5.73459887118912
161,5.3174047697657
163,6.85254613312076
1173,7.41692501986975
1175,7.1519485005869
8546,5.08537518678527
8120,-1.41203987418678
8943,6.5985733597468
26985,4.20961209447531
10947,3.36828217414427
1176,6.20890207268095
10239,4.59194758540803
10717,4.41825092944406
23431,2.45246844213371
9179,5.02983809401368
11154,1.71166934879496
317,3.46710349225145
320,0.690229955587878
321,0.737757579944243
9546,3.79616805030622
54518,1.61081580400308
322,3.15291283823303
323,3.56216920060647
10307,4.49242413745977
10297,-4.292044474912
164284,-2.86881410588152
147495,8.5152067288906
325,-6.64385618977472
324,2.50069609150814
327,6.30705950349457
328,7.76836523530823
27301,5.26995425172855
51107,7.22228461525425
83464,2.68894065860091
8539,5.61862644717217
51074,5.59058671395129
378708,3.49496319696636
200558,2.33459431054288
187,3.40984902430637
8862,1.74704982363034
333,0.0593400340585501
334,7.68256415305261
128240,7.02281707288144
335,-3.13561327073013
336,-6.64385618977472
337,-4.67787079283271
116519,-6.64385618977472
55911,4.5459434796615
339,4.26603383460052
10930,-2.61138600598939
200315,-1.58296634322921
9582,1.98593076269739
27350,4.34478255022508
140564,2.38100180831888
200316,2.56216661659972
60489,2.93676292230417
164668,-2.12014580076465
403314,-2.57380684536039
338,-6.0267335655117
342,-6.64385618977472
341,3.92759984251575
344,2.74271656960218
345,-6.64385618977472
346,-6.64385618977472
347,6.29935660451374
348,5.21065427692199
319,-4.85072255497338
350,0.279479342221722
8542,5.74841925395084
23780,4.40025964125345
80833,3.8230946010758
80832,3.74531763782861
80831,-6.64385618977472
80830,3.72312908154153
81575,6.55132166433113
55937,2.0072476022669
139322,1.9339031331587
79135,3.97489071620447
10513,3.12138610175929
26060,3.60025846130372
55198,5.01991190154645
351,9.29809743077929
353,7.57483601070124
54840,4.56731501100477
89872,-4.91659392234204
282679,0.805781925213118
375318,-6.64385618977472
653437,-3.18758871259162
358,5.40318715538893
359,-5.12696497813456
360,5.51997380697634
361,-5.83388684347216
362,-4.93574304468015
363,-0.879018379517735
375719,-2.27756982325413
441432,-6.64385618977472
364,0.516708797218444
343,-2.26475383262104
366,-1.54422592126193
206338,-4.10681318063978
9716,4.50144080086938
369,6.05446759801004
116985,5.35719433275965
116984,3.22436184928339
64411,4.52518216450334
372,6.58164634227144
23237,-2.43393985614501
374,7.34570527418744
375,8.58267197989001
377,6.78949336610089
378,7.43563312487048
381,8.43429829965129
382,5.9469962850433
55738,5.96054416000948
84364,6.03825493820814
26286,4.66403754555161
10565,5.3491986427772
10564,4.75759315842661
27236,5.13506048737626
23647,5.32312181442294
10139,5.02919978499767
383,-3.57271404027909
384,4.29412532170908
503640,-1.56637887655251
503582,-6.64385618977472
55082,6.81083616401079
79658,2.7182820030529
9824,3.19009710512911
89839,2.05385116461229
94134,4.58195172408818
55843,1.70195495673458
55114,5.31188061567235
93663,5.09130570381052
84986,1.37145640528156
392,6.27518994502907
57569,-2.15229014654464
57584,4.08396463304151
58504,1.89087116155509
57636,3.67781274177084
83478,0.992115763060983
9938,2.45937591457371
23092,3.37220773749417
201176,5.82268428284578
79822,-0.622874745477165
9411,1.73235833186962
257106,2.72119566777268
57514,1.48968769093387
9743,3.94478995844667
115703,1.59311175862578
158763,-5.24224612612322
80728,3.22123943324763
143872,1.49556587641018
393,6.2564493927024
394,4.21101926135266
395,0.216655278776676
23779,4.76104156311461
64333,2.96977374605999
396,8.68139630957605
397,7.2103879424481
398,-2.07480719358549
55160,5.79649398585012
9639,3.02284567424338
9826,4.61907701312203
23365,4.85948106867382
22899,1.86659403543575
27237,5.12441350701889
9828,2.72378004983676
23370,4.80058534437791
128272,4.1328787494701
9138,6.36027586908058
9181,5.86904077995662
100271715,-2.71055214886348
445328,5.86921844093341
389337,2.91431962932545
54848,1.80964481739752
50650,3.28327714320703
50649,-2.13195971920006
7984,4.90154319896921
9459,2.30081106839857
8874,4.72359960712639
23229,3.75936311347249
8289,5.61649545434898
57492,4.11534710606464
196528,3.12498277187365
1820,3.34646570914831
10620,2.59516356149195
138715,-6.64385618977472
5926,2.4785725893768
51742,3.45682858037953
10865,3.89630377513394
84159,3.65678126144852
25820,4.74985829770324
10425,4.98804028808194
285598,-0.594736333865618
115761,2.42299030953827
392509,-3.43632204066334
200894,1.3068437005761
80117,3.15238434946374
54622,3.6858777453471
339231,5.36864178443401
51326,2.32489571514624
641522,-2.79340418179942
400,5.6591510515961
23568,5.09850827587905
402,6.94075285799615
403,3.08653380055307
10124,5.30937034986624
10123,4.01786284549343
379,0.701807462750497
26225,4.71841563033275
221079,2.42169578293278
390790,-6.64385618977472
23204,6.9658188280276
51329,7.78223855825992
10550,6.4919544986796
151188,3.28638320536987
84100,1.6080005119671
127829,5.11932856714371
55207,5.12077675550141
132946,-1.51330865981722
83787,5.56151544172643
55156,4.12572210436472
84071,1.19540091856138
219681,-4.47966199914444
55130,-3.37632618300737
79798,3.46806259220172
93436,5.10348774134979
79637,4.00128336114975
25852,3.43056843780466
80210,3.13116749457852
51309,1.99378663518348
9823,2.20994600735876
51566,5.48321702194121
64860,3.96472696555657
54470,3.43302009264348
387715,-3.8501491625727
9915,2.44778664695123
56938,2.46762251984936
406,2.10363332231026
405,4.13321422967006
10552,7.35623388165005
10095,8.16134477774765
10109,8.12316589844866
10094,8.89265222771045
10093,7.49931649504943
81873,6.1401352808133
10092,7.06635942243744
84517,-0.832211916934912
10776,5.38217555873713
10777,-5.20395444038589
407,-6.64385618977472
408,4.08790435556317
409,5.07532155572999
92714,6.1450732902143
27106,4.29628439451133
57561,5.01266158221611
91947,2.79276936672852
645432,-2.40539975913097
410,5.60531841612953
411,2.50558691021436
414,6.78015802202333
415,2.78446751635709
416,-5.04408875519461
22901,1.45899798423903
347527,-2.45236266852411
340075,-0.841468155747671
79642,2.03118780991214
153642,1.3070720487842
417,-6.64385618977472
419,-0.199928450115884
420,-6.64385618977472
116969,-2.08726707876737
9048,-0.120879228183968
64801,3.71399494075853
421,4.80713635818735
170302,-3.22770721824906
367,-2.91729030569878
57412,1.33993400229868
427,6.60059593813132
653308,1.40833876999996
56624,-2.30715829831374
79827,1.57229891833485
29065,-6.64385618977472
50807,3.80701816312723
8853,4.04057744534673
55616,2.49798391718516
136371,-6.64385618977472
140456,-6.64385618977472
142689,-6.64385618977472
79754,4.51840437208999
142686,-1.14470871754863
142685,-5.33761980832169
92591,0.630357601004923
127247,-6.64385618977472
401036,-3.35490325135155
51665,2.68096913925092
51676,1.94642497567195
51130,3.47681407299171
51666,-1.59406212312553
140458,-6.64385618977472
140459,3.61698409566916
140460,2.66349194156143
140461,4.34151268653765
140462,2.09704083351742
51008,3.83543396989528
84164,5.33359933631502
10973,3.69806338316776
429,-6.64385618977472
430,7.40641300931618
56676,-6.64385618977472
121549,-5.16377054024408
25842,3.23751600757258
55723,4.61438955652338
100126270,-3.3918339257016
432,-0.136345153987382
433,0.168346621614408
55870,3.22545286781962
9070,4.93811634478776
434,-3.29223362939037
435,6.88184980489601
8623,4.31537810572887
438,-3.74468681032262
439,6.03481566037092
54529,5.06312300483974
440,6.09356642481889
443,-1.68601595806609
554235,-2.64818843952619
374569,-2.83787183211142
253982,2.34737764008193
57168,1.92538265820387
444,6.01239634956235
259266,1.92763791871711
54829,3.4462046190155
151516,0.90396275285987
79058,5.58871060130393
80150,4.10942663155719
445,6.87036748876145
28990,2.17561958816817
431705,-3.70389585208298
460,-4.0078352196159
23245,2.11529019150116
171023,4.6586068470963
55252,3.15112038093634
80816,-4.47703870258623
136991,-6.64385618977472
84896,4.57380757869088
54454,2.33132739058495
29028,3.16885918152006
55210,5.31682792371322
83858,4.93497313094822
219293,0.685178716456224
79915,0.6369179806875
85300,-5.08934062919601
11101,3.35481310377125
466,3.94024498029992
1386,4.06986817828734
467,3.97519987132078
468,8.73053917470964
22809,4.88276311084996
1388,6.21506439160967
22926,4.79168347466617
80063,3.23556034054717
55729,3.75343787425688
11016,4.57930835802609
83734,2.28620970071071
9140,4.6743493780457
55054,4.48157194546699
89849,4.50457118511412
23130,4.26693962309537
55102,2.59418188514962
64422,5.64349019521002
115201,3.55590637394422
23192,5.40474615275453
84938,2.81645936301739
84971,4.47824284776153
9474,4.37445708067056
10533,3.2196124015487
79065,4.95679504622426
285973,2.41797415401448
80162,7.94652254199735
471,7.23715713719769
51062,2.4254026804962
64225,4.50264728418699
25923,3.73105194373123
23300,3.93218233545024
472,3.10324210551937
1822,6.10635829234036
474,4.23286974658169
220202,-1.89119588007252
84913,1.49505823701501
475,7.00575186513876
57194,0.240006498730298
23120,6.68778968513174
57205,2.61673758395908
23250,4.09328452100364
23200,4.49295484458382
286410,3.34258337563878
479,-6.64385618977472
57130,5.96436329094612
23400,5.64229907810621
79572,5.02048122714089
84239,-2.75029471430207
344905,-6.64385618977472
476,10.942882220497
477,0.163100913552478
478,-0.725767445523383
480,-3.01977069641793
481,9.31262751799686
482,0.463922871390879
483,6.90417518550563
23439,-6.64385618977472
487,-1.89848516444804
488,6.70869425372688
489,6.31720058737948
490,4.12236165778764
491,-4.68455826380595
492,-6.64385618977472
493,3.73903175623366
27032,5.44057584372231
9914,5.34166292267303
495,-5.01776348452607
496,-4.69776356149632
498,8.19182502850192
506,9.35800224503419
509,7.88401003437967
513,7.59306688615376
432369,3.72641928948192
514,10.5646503776308
515,6.74566633731413
516,8.03350059298145
517,9.35180567299676
518,7.6175075617774
10476,8.46964291014577
521,9.676376990236
9551,9.29053092044735
522,7.14042144365664
267020,-3.83428169244241
10632,7.25483129829378
539,8.14006877221924
55101,5.3044166876032
27109,3.01512945992661
92270,1.6445194314733
537,7.56699277560723
10159,6.50407524922065
535,5.69825964687248
23545,3.29591618434541
50617,-0.364910379212813
533,7.59223824372354
527,7.4035688431815
9114,6.48276502500157
245972,-1.44701988937124
8992,8.46265633377562
155066,4.77194342557974
523,3.9397896954055
525,-0.86713775729972
526,5.86753496170589
528,4.05975310411182
245973,3.48046181485103
51382,5.30514708900733
529,6.45267127074393
90423,2.06075171639168
9296,8.33161267644261
9550,6.57269161416417
534,-1.048122409699
127124,-6.64385618977472
51606,5.40324214452007
538,1.79133615586976
540,3.39209578690507
10396,3.62964845061943
51761,-3.32776718459534
5205,5.26633084904533
57198,2.38855038548648
148229,-1.38154181692672
